layer,lsaq_score,cwlss_score,lsaq_bits,cwlsaq_bits,changed
0,0.0559,0.0557,8,8,
1,0.2937,0.2933,8,8,
2,0.3158,0.3154,8,8,
3,0.3203,0.3207,8,8,
4,0.3508,0.3507,8,4,*
5,0.345,0.3455,8,8,
6,0.3639,0.3656,4,4,
7,0.3614,0.3615,4,4,
8,0.4075,0.4054,4,4,
9,0.4569,0.4567,4,4,
10,0.4955,0.4951,4,4,
11,0.4578,0.4594,4,4,
12,0.5178,0.5201,4,4,
13,0.4757,0.4771,4,4,
14,0.5622,0.563,4,4,
15,0.5458,0.5462,4,4,
16,0.5827,0.5829,4,4,
17,0.5517,0.5557,4,4,
18,0.5429,0.5472,4,4,
19,0.4611,0.4655,4,4,
20,0.5371,0.5405,4,4,
21,0.4641,0.4655,4,4,
22,0.4709,0.4777,4,4,
23,0.4989,0.503,4,4,
24,0.5552,0.5522,4,4,
25,0.5976,0.5952,4,4,
26,0.3522,0.3488,4,8,*
27,0.3365,0.3305,8,8,
