Layer,LSAQ_Score,CWLSS_Score,Delta
0,0.0559,0.0557,0.0002
1,0.2937,0.2933,0.0003
2,0.3158,0.3154,0.0004
3,0.3203,0.3207,-0.0004
4,0.3508,0.3507,0.0002
5,0.345,0.3455,-0.0005
6,0.3639,0.3656,-0.0017
7,0.3614,0.3615,-0.0001
8,0.4075,0.4054,0.0021
9,0.4569,0.4567,0.0002
10,0.4955,0.4951,0.0004
11,0.4578,0.4594,-0.0016
12,0.5178,0.5201,-0.0022
13,0.4757,0.4771,-0.0013
14,0.5622,0.563,-0.0008
15,0.5458,0.5462,-0.0005
16,0.5827,0.5829,-0.0002
17,0.5517,0.5557,-0.004
18,0.5429,0.5472,-0.0043
19,0.4611,0.4655,-0.0044
20,0.5371,0.5405,-0.0033
21,0.4641,0.4655,-0.0014
22,0.4709,0.4777,-0.0068
23,0.4989,0.503,-0.0041
24,0.5552,0.5522,0.003
25,0.5976,0.5952,0.0024
26,0.3522,0.3488,0.0034
27,0.3365,0.3305,0.006
